neighbourhood_cleansed,room_type,mean,median,std,var,min,max,mode,first_quartile,third_quartile
Amager Vest,Entire home/apt,1234.2266226622662,1050.0,832.6968905797611,693384.1115812026,250.0,14000.0,1000.0,814.0,1480.0
Amager Vest,Private room,1032.9662162162163,500.0,5299.018094662293,28079592.767558403,200.0,64900.0,500.0,400.0,655.0
Amager Vest,Shared room,1051.5,1051.5,112.42997820866105,12640.5,972.0,1131.0,972.0,1011.75,1091.25
Amager st,Entire home/apt,1093.58407079646,900.0,721.98228366294,521258.41792315396,240.0,10000.0,1000.0,700.0,1200.0
Amager st,Hotel room,1296.0,1201.0,211.18475323753844,44599.0,1149.0,1538.0,1149.0,1175.0,1369.5
Amager st,Private room,549.3255813953489,471.0,293.9959917560181,86433.64316860467,135.0,2000.0,450.0,400.0,600.0
Amager st,Shared room,2575.0,2575.0,,,2575.0,2575.0,2575.0,2575.0,2575.0
Bispebjerg,Entire home/apt,992.5925196850394,800.0,1981.5805451473475,3926661.456906459,235.0,44000.0,700.0,600.0,1000.0
Bispebjerg,Private room,488.9789473684211,400.0,353.6740890342397,125085.36125419934,143.0,3000.0,300.0,300.0,528.5
Bispebjerg,Shared room,198.0,198.0,,,198.0,198.0,198.0,198.0,198.0
Brønshøj-Husum,Entire home/apt,1014.9953703703703,900.0,555.6695479240288,308768.6464900946,250.0,4462.0,1400.0,655.75,1250.0
Brønshøj-Husum,Private room,445.55223880597015,400.0,201.63162357055916,40655.31162369967,145.0,1200.0,500.0,320.0,500.0
Brønshøj-Husum,Shared room,211.5,211.5,16.263455967290593,264.5,200.0,223.0,200.0,205.75,217.25
Frederiksberg,Entire home/apt,1292.4722222222222,1037.0,1958.8027724202043,3836908.3012410784,300.0,58000.0,1000.0,822.5,1400.0
Frederiksberg,Private room,621.7067669172932,500.0,567.6112196708993,322182.49669628596,185.0,5000.0,500.0,400.0,700.0
Indre By,Entire home/apt,1642.3871915393654,1400.0,1072.6162315354488,1150505.5801533074,350.0,20000.0,1200.0,1021.25,1911.0
Indre By,Hotel room,1077.2,1306.0,654.2550980568155,428049.73333333334,204.0,1862.0,1306.0,393.5,1553.75
Indre By,Private room,698.984375,582.0,380.0704655837588,144453.5588090552,165.0,2093.0,450.0,455.25,840.25
Indre By,Shared room,292.0,280.0,67.57711644237764,4566.666666666667,223.0,385.0,223.0,265.0,307.0
Nørrebro,Entire home/apt,1047.7421916357862,950.0,583.7032180322202,340709.44674116955,216.0,12500.0,1000.0,750.0,1200.0
Nørrebro,Private room,650.1212121212121,500.0,760.2700401821197,578010.5339985219,79.0,8400.0,500.0,400.0,700.0
Nørrebro,Shared room,324.6666666666667,400.0,130.48116083685542,17025.333333333332,174.0,400.0,400.0,287.0,400.0
Valby,Entire home/apt,1017.9688888888888,899.0,635.4346907794529,403777.2462459789,303.0,7429.0,700.0,699.0,1200.0
Valby,Private room,498.1573033707865,438.0,288.61636612057464,83299.40679264559,127.0,2000.0,500.0,307.0,550.0
Vanløse,Entire home/apt,954.4251968503937,826.5,496.65831964967,246669.48647723376,269.0,3643.0,700.0,638.75,1200.0
Vanløse,Private room,413.40909090909093,337.5,194.57865249933423,37860.85200845666,200.0,1200.0,300.0,271.5,500.25
Vesterbro-Kongens Enghave,Entire home/apt,1181.4351187189397,1000.0,698.1224809533088,487374.99841240305,300.0,10800.0,1000.0,841.0,1326.5
Vesterbro-Kongens Enghave,Private room,574.3665158371041,500.0,295.7268957563964,87454.39687371453,186.0,2000.0,500.0,414.0,643.0
Vesterbro-Kongens Enghave,Shared room,330.5,330.5,113.84419177103415,12960.5,250.0,411.0,250.0,290.25,370.75
Østerbro,Entire home/apt,1248.5511073253833,1000.0,1438.9082161797414,2070456.8545895654,268.0,41800.0,1000.0,800.0,1400.0
Østerbro,Private room,605.4615384615385,500.0,437.2590304951434,191195.45974955277,200.0,3402.0,400.0,400.0,679.75
Østerbro,Shared room,469.0,469.0,,,469.0,469.0,469.0,469.0,469.0
